Source,Target,Type,Weight
394415595,116911797,Undirected,1
394415595,60648058,Undirected,1
394415595,94505568,Undirected,1
394415595,103196008,Undirected,1
394415595,148764468,Undirected,1
394415595,120442261,Undirected,1
394415595,190644380,Undirected,1
394415595,114453295,Undirected,1
394415595,289708500,Undirected,1
394415595,338883263,Undirected,1
394415595,65647271,Undirected,1
394415595,233809998,Undirected,1
394415595,394127778,Undirected,1
394415595,68174135,Undirected,1
394415595,124804793,Undirected,1
394415595,187874380,Undirected,1
394415595,124884370,Undirected,1
394415595,168929741,Undirected,1
394415595,122700961,Undirected,4
394415595,113798581,Undirected,1
